date,index_code,index_name,open,high,low,close,pre_close,volume,money,return_pct,amplitude,amplitude_pct
2019-01-02,000852.XSHG,中证1000,4436.75,4444.44,4399.59,4408.53,4430.02,6627224000.0,51171591591.5,-0.485099,0.01012411,1.012411
2019-01-03,000852.XSHG,中证1000,4404.31,4446.03,4375.86,4376.86,4408.53,8049498000.0,59963718906.9,-0.71838,0.01591687,1.591687
2019-01-04,000852.XSHG,中证1000,4338.06,4497.91,4326.33,4497.89,4376.86,10347081200.0,74604288121.8,2.765224,0.03920162,3.920162
2019-01-07,000852.XSHG,中证1000,4523.23,4598.63,4516.0,4594.15,4497.89,11455361800.0,84142072997.0,2.140115,0.01837084,1.837084
2019-01-08,000852.XSHG,中证1000,4586.84,4596.8,4567.29,4585.03,4594.15,10741102300.0,77211978386.0,-0.198513,0.00642339,0.642339
2019-01-09,000852.XSHG,中证1000,4588.69,4654.77,4578.45,4594.74,4585.03,12317385800.0,90323079404.8,0.211776,0.01664547,1.664547
2019-01-10,000852.XSHG,中证1000,4592.74,4619.82,4571.09,4582.48,4594.74,10648293900.0,76631474968.1,-0.266827,0.01060561,1.060561
2019-01-11,000852.XSHG,中证1000,4585.22,4621.61,4575.64,4621.61,4582.48,10412423600.0,75818247185.8,0.853904,0.01003169,1.003169
2019-01-14,000852.XSHG,中证1000,4621.7,4625.56,4580.54,4594.19,4621.61,10173812000.0,71993615227.5,-0.5933,0.00974119,0.974119
2019-01-15,000852.XSHG,中证1000,4583.55,4644.17,4569.14,4644.17,4594.19,10156223700.0,73876173547.3,1.087896,0.0163315,1.63315
2019-01-16,000852.XSHG,中证1000,4644.23,4669.63,4632.07,4637.2,4644.17,10221963000.0,77549373894.1,-0.150081,0.00808756,0.808756
2019-01-17,000852.XSHG,中证1000,4632.27,4639.79,4590.31,4595.49,4637.2,10344010500.0,74696621200.9,-0.899465,0.01067023,1.067023
2019-01-18,000852.XSHG,中证1000,4596.25,4627.66,4576.77,4626.41,4595.49,10917522500.0,76103651830.4,0.672834,0.0110739,1.10739
2019-01-21,000852.XSHG,中证1000,4629.79,4668.48,4624.65,4655.11,4626.41,10007606400.0,73221895171.7,0.620351,0.00947387,0.947387
2019-01-22,000852.XSHG,中证1000,4651.03,4651.1,4589.37,4603.2,4655.11,9712104100.0,69420770224.4,-1.115119,0.0132607,1.32607
2019-01-23,000852.XSHG,中证1000,4590.69,4609.68,4580.63,4609.67,4603.2,8517290100.0,61499275481.7,0.140554,0.00631083,0.631083
2019-01-24,000852.XSHG,中证1000,4613.93,4651.02,4591.8,4635.75,4609.67,9905679700.0,75010565322.1,0.565767,0.01284691,1.284691
