date,code,open,high,low,close,pre_close,volume,money
2019-01-02,000300.XSHG,3017.07,3018.78,2958.49,2969.54,3010.65,6866302100,7.610557128e+10
2019-01-03,000300.XSHG,2963.02,3000.44,2953.25,2964.84,2969.54,7086710300,7.666479739e+10
2019-01-04,000300.XSHG,2940.19,3036.81,2935.83,3035.87,2964.84,1.03318972e+10,1.071410371e+11
2019-01-07,000300.XSHG,3055.15,3061.75,3035.91,3054.3,3035.87,1.01164359e+10,1.057039408e+11
2019-01-08,000300.XSHG,3049.87,3055.51,3038.53,3047.7,3054.3,8617058500,7.962888266e+10
2019-01-09,000300.XSHG,3065.23,3117.96,3062.85,3078.48,3047.7,1.0736435e+10,1.171296789e+11
2019-01-10,000300.XSHG,3077.48,3092.54,3062.57,3072.69,3078.48,8527175600,9.020687174e+10
2019-01-11,000300.XSHG,3082.26,3102.83,3071.03,3094.78,3072.69,7178642400,7.742023958e+10
2019-01-14,000300.XSHG,3092.5,3097.41,3064.38,3067.78,3094.78,6612170200,6.811596909e+10
2019-01-15,000300.XSHG,3071.52,3129.37,3064.67,3127.99,3067.78,8877296200,9.997689114e+10
2019-01-16,000300.XSHG,3126.13,3135.01,3117.29,3128.65,3127.99,8021434100,8.578159179e+10
2019-01-17,000300.XSHG,3132.63,3141.71,3110.06,3111.42,3128.65,8017487100,8.288820699e+10
2019-01-18,000300.XSHG,3124.5,3171.69,3120.35,3168.17,3111.42,1.03963834e+10,1.067806585e+11
2019-01-21,000300.XSHG,3170.88,3199.21,3170.88,3185.64,3168.17,9391502200,1.055369866e+11
2019-01-22,000300.XSHG,3181.95,3181.95,3135.34,3143.32,3185.64,7299052800,7.815087631e+10
2019-01-23,000300.XSHG,3136.1,3157.63,3131.87,3141.05,3143.32,5987047800,6.2669652e+10
2019-01-24,000300.XSHG,3146.6,3165.63,3125.3,3158.78,3141.05,7293463600,8.096387722e+10
2019-01-25,000300.XSHG,3165.18,3203.17,3164.41,3184.47,3158.78,8396772900,9.320795475e+10
2019-01-28,000300.XSHG,3203.12,3228.87,3174.72,3183.78,3184.47,8262243100,9.737149615e+10
2019-01-29,000300.XSHG,3177.26,3200.99,3148.23,3193.97,3183.78,7765833400,8.594390859e+10
2019-01-30,000300.XSHG,3181.66,3202.9,3167.89,3168.48,3193.97,6374651700,7.300512345e+10
2019-01-31,000300.XSHG,3182.7,3216.07,3178.01,3201.63,3168.48,8624783900,9.750992477e+10
2019-02-01,000300.XSHG,3225.73,3247.5,3207.72,3247.4,3201.63,8201964100,9.476641276e+10
2019-02-11,000300.XSHG,3239.81,3307.06,3239.81,3306.47,3247.4,9881843400,1.147523548e+11
2019-02-12,000300.XSHG,3306.35,3335.36,3298.63,3330.34,3306.47,1.22232462e+10,1.22834101e+11
2019-02-13,000300.XSHG,3337.78,3405.58,3329.14,3397.03,3330.34,1.63828332e+10,1.688662621e+11
2019-02-14,000300.XSHG,3392.85,3415.4,3381.98,3402.14,3397.03,1.5112729e+10,1.38649288e+11
2019-02-15,000300.XSHG,3391.24,3395.03,3335.87,3338.7,3402.14,1.43668603e+10,1.415550609e+11
2019-02-18,000300.XSHG,3366.42,3445.74,3366.42,3445.74,3338.7,1.82886089e+10,1.804497425e+11
2019-02-19,000300.XSHG,3454.72,3480.79,3419.07,3439.61,3445.74,1.79083785e+10,1.857627466e+11
2019-02-20,000300.XSHG,3449.93,3463.77,3421.51,3451.93,3439.61,1.47390311e+10,1.455702631e+11
2019-02-21,000300.XSHG,3450.14,3500.25,3431.63,3442.71,3451.93,1.80143287e+10,1.851971548e+11
2019-02-22,000300.XSHG,3439.38,3520.12,3417.98,3520.12,3442.71,1.87237974e+10,2.028692887e+11
2019-02-25,000300.XSHG,3575.85,3729.48,3574.69,3729.48,3520.12,3.42557122e+10,3.763823934e+11
2019-02-26,000300.XSHG,3734.71,3762.11,3679.27,3684.69,3729.48,3.58038698e+10,3.876328601e+11
2019-02-27,000300.XSHG,3682.81,3737.63,3638.33,3678.39,3684.69,2.86236007e+10,3.073061481e+11
2019-02-28,000300.XSHG,3675.26,3695.46,3650.05,3669.37,3678.39,1.8481022e+10,2.060109582e+11
2019-03-01,000300.XSHG,3699.22,3749.71,3668.77,3749.71,3669.37,2.04711004e+10,2.356206235e+11
2019-03-04,000300.XSHG,3783.04,3886.58,3764.78,3794.1,3749.71,3.23490126e+10,3.763972847e+11
2019-03-05,000300.XSHG,3785.38,3816.16,3770.79,3816.01,3794.1,2.30853166e+10,2.614641222e+11
2019-03-06,000300.XSHG,3822.86,3855.16,3787.52,3848.09,3816.01,3.18077371e+10,3.311556166e+11
2019-03-07,000300.XSHG,3841.15,3845.18,3778.8,3808.85,3848.09,3.29846548e+10,3.593391529e+11
2019-03-08,000300.XSHG,3721.4,3774.54,3656.19,3657.58,3808.85,3.17990077e+10,3.492966912e+11
2019-03-11,000300.XSHG,3663.98,3731.91,3650.81,3729.95,3657.58,2.30912865e+10,2.687184588e+11
2019-03-12,000300.XSHG,3758.32,3804.72,3723.68,3755.35,3729.95,2.74926382e+10,3.251806198e+11
2019-03-13,000300.XSHG,3758.71,3763.09,3708.81,3724.19,3755.35,2.33682248e+10,2.861710482e+11
2019-03-14,000300.XSHG,3710.29,3747.82,3673.85,3698.49,3724.19,1.90817237e+10,2.318201494e+11
2019-03-15,000300.XSHG,3713.94,3782.24,3713.94,3745.01,3698.49,1.75174544e+10,2.241943629e+11
2019-03-18,000300.XSHG,3753.64,3851.75,3733.68,3851.75,3745.01,2.1692806e+10,2.764734489e+11
2019-03-19,000300.XSHG,3856.59,3868.34,3815.22,3833.96,3851.75,1.8172711e+10,2.240968896e+11
2019-03-20,000300.XSHG,3825.34,3855.15,3790.51,3835.44,3833.96,1.7563209e+10,2.154069936e+11
2019-03-21,000300.XSHG,3840.28,3864.07,3823.47,3836.89,3835.44,1.9631031e+10,2.319934456e+11
2019-03-22,000300.XSHG,3838.13,3845.58,3786.59,3833.8,3836.89,1.71356993e+10,1.985183863e+11
2019-03-25,000300.XSHG,3776.44,3807.18,3741.61,3742.83,3833.8,1.98586329e+10,2.233965644e+11
2019-03-26,000300.XSHG,3766.53,3770.84,3687.55,3700.44,3742.83,1.73046579e+10,1.965478112e+11
2019-03-27,000300.XSHG,3724.41,3750.26,3703.45,3743.39,3700.44,1.38758454e+10,1.775075284e+11
2019-03-28,000300.XSHG,3731.06,3755.72,3710.08,3728.4,3743.39,1.33272129e+10,1.726043929e+11
2019-03-29,000300.XSHG,3739.77,3876.38,3739.77,3872.34,3728.4,2.15639103e+10,2.830222986e+11
2019-04-01,000300.XSHG,3901.17,3982.91,3901.17,3973.93,3872.34,2.71382704e+10,3.407994036e+11
2019-04-02,000300.XSHG,3986.34,3988.1,3956.51,3971.29,3973.93,2.26000341e+10,2.81892057e+11
2019-04-03,000300.XSHG,3947.87,4026.5,3939.78,4022.16,3971.29,2.31917368e+10,2.848264954e+11
2019-04-04,000300.XSHG,4039.74,4072.11,4021.71,4062.23,4022.16,2.60410939e+10,3.135394314e+11
2019-04-08,000300.XSHG,4097.1,4122.6,4017.49,4057.23,4062.23,2.67505576e+10,3.246704525e+11
2019-04-09,000300.XSHG,4063.81,4084.24,4038.28,4075.43,4057.23,1.82956808e+10,2.431879131e+11
2019-04-10,000300.XSHG,4062.44,4115.38,4035.47,4085.85,4075.43,1.94687613e+10,2.782820251e+11
2019-04-11,000300.XSHG,4083.46,4097.12,3990.24,3997.58,4085.85,1.69049641e+10,2.362591567e+11
2019-04-12,000300.XSHG,3986.78,4006.93,3961.46,3988.62,3997.58,1.35862118e+10,1.787959391e+11
2019-04-15,000300.XSHG,4056.49,4085.39,3974.23,3975.52,3988.62,1.82645571e+10,2.362987214e+11
2019-04-16,000300.XSHG,3958.1,4085.79,3943.49,4085.79,3975.52,2.02041966e+10,2.505692067e+11
2019-04-17,000300.XSHG,4080.72,4106.62,4057.5,4087.24,4085.79,1.80367117e+10,2.288244299e+11
2019-04-18,000300.XSHG,4085.11,4094.05,4056.24,4072.08,4087.24,1.46562123e+10,1.878126878e+11
2019-04-19,000300.XSHG,4076.3,4120.64,4046.2,4120.61,4072.08,1.5079491e+10,1.947016908e+11
2019-04-22,000300.XSHG,4125.97,4126.09,4015.47,4025.61,4120.61,1.89353745e+10,2.443805492e+11
2019-04-23,000300.XSHG,4021.63,4061.09,4005.28,4019.01,4025.61,1.5561165e+10,2.041215058e+11
2019-04-24,000300.XSHG,4033.63,4044.34,3967.81,4030.09,4019.01,1.45498695e+10,1.864979617e+11
2019-04-25,000300.XSHG,4013.6,4022.56,3938.33,3941.82,4030.09,1.59722071e+10,1.975309978e+11
2019-04-26,000300.XSHG,3921.89,3943.83,3887.25,3889.27,3941.82,1.42008068e+10,1.865721371e+11
2019-04-29,000300.XSHG,3896.58,3953.23,3875.45,3900.33,3889.27,1.53870927e+10,2.039465532e+11
2019-04-30,000300.XSHG,3887.18,3923.11,3885.15,3913.21,3900.33,1.16233376e+10,1.616659239e+11
2019-05-06,000300.XSHG,3775.08,3791.61,3647.14,3684.62,3913.21,1.97472882e+10,2.541154001e+11
2019-05-07,000300.XSHG,3702.27,3738.18,3671.83,3720.67,3684.62,1.32847654e+10,1.836591592e+11
2019-05-08,000300.XSHG,3648.55,3722.93,3642.5,3667.46,3720.67,1.12867355e+10,1.450584864e+11
2019-05-09,000300.XSHG,3637.35,3656.9,3584.82,3599.7,3667.46,1.01037394e+10,1.418290958e+11
2019-05-10,000300.XSHG,3643.06,3732.92,3589.29,3730.45,3599.7,1.48003847e+10,1.950671708e+11
2019-05-13,000300.XSHG,3675.76,3702.9,3658,3668.73,3730.45,1.0339186e+10,1.350539267e+11
