date,code,open,high,low,close,pre_close,volume,money
2019-01-02,000016.XSHG,2298.18,2301.06,2252.75,2262.79,2293.1,2088069700,2.811993412e+10
2019-01-03,000016.XSHG,2259.48,2287.78,2253.94,2269.24,2262.79,1889524000,2.453492548e+10
2019-01-04,000016.XSHG,2252.74,2316.35,2249.37,2314.65,2269.24,2590059600,3.431794256e+10
2019-01-07,000016.XSHG,2329.03,2331.6,2306.9,2314.32,2314.65,2527894800,3.195599437e+10
2019-01-08,000016.XSHG,2312.17,2312.17,2298.95,2305.17,2314.32,1813116000,2.232912212e+10
2019-01-09,000016.XSHG,2320.91,2360.36,2318.44,2332.72,2305.17,2874759600,3.748540583e+10
2019-01-10,000016.XSHG,2333.22,2345.33,2321.3,2331.85,2332.72,2228050700,2.888060306e+10
2019-01-11,000016.XSHG,2342.02,2360.06,2334.91,2354.5,2331.85,1841769300,2.451411174e+10
2019-01-14,000016.XSHG,2350.26,2354.31,2330,2331.14,2354.5,1646225200,2.064386554e+10
2019-01-15,000016.XSHG,2337.7,2380.6,2332.41,2378.37,2331.14,2246633600,3.222071437e+10
2019-01-16,000016.XSHG,2375.17,2385.22,2366.34,2381.22,2378.37,1809703900,2.523575276e+10
2019-01-17,000016.XSHG,2388.59,2396.8,2370.58,2371.35,2381.22,2155500000,2.696492942e+10
2019-01-18,000016.XSHG,2385.62,2422.03,2380.56,2417.36,2371.35,3008820000,3.74953301e+10
2019-01-21,000016.XSHG,2418,2443.23,2418,2432.49,2417.36,2623723600,3.39125294e+10
2019-01-22,000016.XSHG,2430.43,2430.43,2394.18,2401.23,2432.49,1937313700,2.570275001e+10
2019-01-23,000016.XSHG,2397.41,2414.02,2392.64,2397.05,2401.23,1629013500,2.018505724e+10
2019-01-24,000016.XSHG,2401.38,2414.89,2385.1,2411.56,2397.05,2041569700,2.732850393e+10
2019-01-25,000016.XSHG,2419.26,2453.67,2418.01,2441.64,2411.56,2568367900,3.254422995e+10
2019-01-28,000016.XSHG,2455.28,2473.12,2429.88,2437.03,2441.64,2346816300,3.269660944e+10
2019-01-29,000016.XSHG,2433.31,2461.52,2423.46,2455.9,2437.03,2186348000,2.714168308e+10
2019-01-30,000016.XSHG,2445.86,2462.61,2439.33,2440.01,2455.9,1783517000,2.241421728e+10
2019-01-31,000016.XSHG,2454.64,2487.1,2450.18,2483.47,2440.01,2668129800,3.414160809e+10
2019-02-01,000016.XSHG,2502.1,2503.55,2479.34,2499.64,2483.47,2195005400,2.936402298e+10
2019-02-11,000016.XSHG,2485.5,2528.38,2484.65,2527.47,2499.64,2521157000,3.471519118e+10
2019-02-12,000016.XSHG,2528.1,2537.29,2515.03,2533.18,2527.47,2545880400,3.377172741e+10
2019-02-13,000016.XSHG,2538.42,2587.88,2528.23,2580.61,2533.18,3982183200,4.800883551e+10
2019-02-14,000016.XSHG,2572.64,2585.51,2564.87,2576.31,2580.61,2771851500,3.516846006e+10
2019-02-15,000016.XSHG,2566.34,2568.79,2515.89,2517.46,2576.31,3031579600,3.909390191e+10
2019-02-18,000016.XSHG,2540.53,2583.4,2540.3,2582.85,2517.46,3740059200,4.78759576e+10
2019-02-19,000016.XSHG,2586.86,2614.36,2568.18,2579.05,2582.85,3790737900,4.960750422e+10
2019-02-20,000016.XSHG,2593.79,2599.55,2569.98,2588.17,2579.05,2996518100,3.816683175e+10
2019-02-21,000016.XSHG,2586.74,2615.47,2569.48,2577.23,2588.17,3525285500,4.440501841e+10
2019-02-22,000016.XSHG,2576,2623.09,2555.73,2623.07,2577.23,4138415100,5.349195746e+10
2019-02-25,000016.XSHG,2652.91,2788.67,2652.91,2787.7,2623.07,9693905100,1.250032801e+11
2019-02-26,000016.XSHG,2781.31,2804.16,2729.48,2733.9,2787.7,8723016100,1.142832548e+11
2019-02-27,000016.XSHG,2739.11,2794.93,2722.31,2750.34,2733.9,7550886500,9.10986346e+10
2019-02-28,000016.XSHG,2749.87,2767.86,2733.03,2743.97,2750.34,4634095900,6.218633913e+10
2019-03-01,000016.XSHG,2764.95,2819.47,2747.21,2819.47,2743.97,5610014700,7.633369713e+10
2019-03-04,000016.XSHG,2839.4,2907.82,2816.98,2832.59,2819.47,9218016700,1.188542562e+11
2019-03-05,000016.XSHG,2829.5,2835.11,2807.12,2828.87,2832.59,6034923500,7.52887236e+10
2019-03-06,000016.XSHG,2827.86,2847.38,2797.5,2840.27,2828.87,6949222400,9.10609382e+10
2019-03-07,000016.XSHG,2831.36,2831.36,2773.35,2789.7,2840.27,7326395900,1.022324553e+11
2019-03-08,000016.XSHG,2731.53,2753.55,2684.2,2685.59,2789.7,7203392800,9.638837652e+10
2019-03-11,000016.XSHG,2683.76,2714.09,2670.79,2708.6,2685.59,5201405200,7.019868943e+10
2019-03-12,000016.XSHG,2730.53,2759.61,2704.69,2719.77,2708.6,6486754400,8.505184295e+10
2019-03-13,000016.XSHG,2731.5,2747.96,2699.98,2723.96,2719.77,5406457100,7.411760273e+10
2019-03-14,000016.XSHG,2720.19,2752.66,2716.27,2729.13,2723.96,4347181300,6.256790956e+10
2019-03-15,000016.XSHG,2736,2783.51,2735.86,2755.81,2729.13,4412309600,6.725845892e+10
2019-03-18,000016.XSHG,2763.23,2827.26,2749.2,2825.18,2755.81,6160523500,8.765520212e+10
2019-03-19,000016.XSHG,2830.24,2842.45,2797.72,2806.9,2825.18,4345905600,6.236267935e+10
2019-03-20,000016.XSHG,2799.32,2831.63,2787.28,2812.92,2806.9,4032224700,5.842904585e+10
2019-03-21,000016.XSHG,2816.45,2822.63,2799.83,2802.96,2812.92,4363138500,6.373139924e+10
2019-03-22,000016.XSHG,2804.72,2813.52,2771.96,2795.39,2802.96,3598807000,5.050904789e+10
2019-03-25,000016.XSHG,2757.81,2765.84,2717.29,2718.18,2795.39,5214091500,6.620796199e+10
2019-03-26,000016.XSHG,2737.37,2739.29,2693.91,2706.15,2718.18,4007395500,5.26127408e+10
2019-03-27,000016.XSHG,2721.14,2751.72,2714.09,2741.59,2706.15,3354201800,5.190087071e+10
2019-03-28,000016.XSHG,2728.04,2742.7,2709.39,2733.97,2741.59,3184030300,4.66318702e+10
2019-03-29,000016.XSHG,2747.54,2845.23,2746.11,2838.51,2733.97,5967666900,9.055041803e+10
2019-04-01,000016.XSHG,2860.14,2906.15,2860.14,2892.62,2838.51,7791214600,1.045138007e+11
2019-04-02,000016.XSHG,2900.63,2903.87,2878.39,2888.53,2892.62,6118746100,7.754094836e+10
2019-04-03,000016.XSHG,2869.85,2923.92,2865.3,2920,2888.53,6472374900,8.156204379e+10
2019-04-04,000016.XSHG,2927.1,2959.59,2921.2,2951.98,2920,7303571600,8.999948924e+10
2019-04-08,000016.XSHG,2978.5,3007.83,2938.65,2962.27,2951.98,7453190900,9.753330862e+10
2019-04-09,000016.XSHG,2968.08,2980.12,2948.31,2967.51,2962.27,5080214200,7.230979781e+10
2019-04-10,000016.XSHG,2957.27,2996.41,2941.35,2979.1,2967.51,4869243800,7.5072996e+10
2019-04-11,000016.XSHG,2982.39,3000.1,2920.19,2928.43,2979.1,4281114400,6.400172156e+10
2019-04-12,000016.XSHG,2920.55,2933.45,2903.27,2920.52,2928.43,3252163300,4.73182411e+10
2019-04-15,000016.XSHG,2973.02,2999.33,2924.6,2924.93,2920.52,5843752800,7.770606853e+10
2019-04-16,000016.XSHG,2914.99,3023.03,2909.66,3023.03,2924.93,7076416300,8.529915629e+10
2019-04-17,000016.XSHG,3017.39,3035.41,2996.76,3017.42,3023.03,4996067500,6.431720904e+10
2019-04-18,000016.XSHG,3014.91,3019.54,2993.27,3004.92,3017.42,3967068400,5.000908203e+10
2019-04-19,000016.XSHG,3013.67,3043.93,2989.55,3042.43,3004.92,3994367200,5.603540484e+10
2019-04-22,000016.XSHG,3047.43,3048.82,2962.36,2970.49,3042.43,5675969700,7.486575421e+10
2019-04-23,000016.XSHG,2968,3007.35,2964.98,2978.85,2970.49,4106545600,5.739871131e+10
2019-04-24,000016.XSHG,2989.96,3001.53,2933.53,2974.85,2978.85,3542572900,5.108127589e+10
2019-04-25,000016.XSHG,2962.74,2973.22,2924.02,2927.99,2974.85,3893448300,5.230255725e+10
2019-04-26,000016.XSHG,2913.77,2930.21,2892.53,2892.86,2927.99,3656219700,5.22618868e+10
2019-04-29,000016.XSHG,2906.47,2968.16,2899.83,2939.41,2892.86,3924935500,6.077263195e+10
