route,feature
preopen,csi1000_hist_abs_ret_lag1
preopen,csi1000_hist_abs_ret_lag5
preopen,csi1000_hist_abs_ret_mean20
preopen,csi1000_hist_abs_ret_mean5
preopen,csi1000_hist_body_lag1
preopen,csi1000_hist_clv_lag1
preopen,csi1000_hist_gap_abs_lag1
preopen,csi1000_hist_gap_lag1
preopen,csi1000_hist_ret_lag1
preopen,csi1000_hist_ret_lag2
preopen,csi1000_hist_ret_lag5
preopen,csi1000_hist_trend20
preopen,csi1000_hist_trend5
preopen,csi300_hist_amp_lag1
preopen,csi300_hist_amp_mean20
preopen,csi300_hist_amp_std20
preopen,csi300_hist_money_rel20
preopen,csi300_hist_ret_lag1
preopen,csi300_hist_rv_lag1
preopen,csi300_hist_rv_mean20
preopen,csi300_hist_trend5
preopen,sse50_hist_amp_lag1
preopen,sse50_hist_amp_mean20
preopen,sse50_hist_amp_std20
preopen,sse50_hist_money_rel20
preopen,sse50_hist_ret_lag1
preopen,sse50_hist_rv_lag1
preopen,sse50_hist_rv_mean20
preopen,sse50_hist_trend5
early,bar_index
early,csi1000_cur_amp
early,csi1000_cur_bars_since_high
early,csi1000_cur_bars_since_low
early,csi1000_cur_clv
early,csi1000_cur_down_share
early,csi1000_cur_efficiency
early,csi1000_cur_range_expansion_15m
early,csi1000_cur_range_expansion_30m
early,csi1000_cur_range_expansion_5m
early,csi1000_cur_return
early,csi1000_cur_return_15m
early,csi1000_cur_return_30m
early,csi1000_cur_return_5m
early,csi1000_cur_rv
early,csi1000_cur_rv_15m
early,csi1000_cur_rv_30m
early,csi1000_cur_rv_5m
early,csi1000_hist_abs_ret_lag1
early,csi1000_hist_abs_ret_lag5
early,csi1000_hist_abs_ret_mean20
early,csi1000_hist_abs_ret_mean5
early,csi1000_hist_body_lag1
early,csi1000_hist_clv_lag1
early,csi1000_hist_gap_abs_lag1
early,csi1000_hist_gap_lag1
early,csi1000_hist_ret_lag1
early,csi1000_hist_ret_lag2
early,csi1000_hist_ret_lag5
early,csi1000_hist_trend20
early,csi1000_hist_trend5
early,csi300_cur_amp
early,csi300_cur_cum_money_ratio20
early,csi300_cur_down_share
early,csi300_cur_range_expansion_15m
early,csi300_cur_return
early,csi300_cur_return_15m
early,csi300_cur_rv
early,csi300_cur_rv_15m
early,csi300_hist_amp_lag1
early,csi300_hist_amp_mean20
early,csi300_hist_amp_std20
early,csi300_hist_money_rel20
early,csi300_hist_ret_lag1
early,csi300_hist_rv_lag1
early,csi300_hist_rv_mean20
early,csi300_hist_trend5
early,relative_csi300_amp
early,relative_csi300_return
early,relative_csi300_rv
early,relative_sse50_amp
early,relative_sse50_return
early,relative_sse50_rv
early,sse50_cur_amp
early,sse50_cur_cum_money_ratio20
early,sse50_cur_down_share
early,sse50_cur_range_expansion_15m
early,sse50_cur_return
early,sse50_cur_return_15m
early,sse50_cur_rv
early,sse50_cur_rv_15m
early,sse50_hist_amp_lag1
early,sse50_hist_amp_mean20
early,sse50_hist_amp_std20
early,sse50_hist_money_rel20
early,sse50_hist_ret_lag1
early,sse50_hist_rv_lag1
early,sse50_hist_rv_mean20
early,sse50_hist_trend5
late,bar_index
late,csi1000_cur_amp
late,csi1000_cur_bars_since_high
late,csi1000_cur_bars_since_low
late,csi1000_cur_clv
late,csi1000_cur_down_share
late,csi1000_cur_efficiency
late,csi1000_cur_range_expansion_15m
late,csi1000_cur_range_expansion_30m
late,csi1000_cur_range_expansion_5m
late,csi1000_cur_return
late,csi1000_cur_return_15m
late,csi1000_cur_return_30m
late,csi1000_cur_return_5m
late,csi1000_cur_rv
late,csi1000_cur_rv_15m
late,csi1000_cur_rv_30m
late,csi1000_cur_rv_5m
late,csi300_cur_amp
late,csi300_cur_cum_money_ratio20
late,csi300_cur_down_share
late,csi300_cur_range_expansion_15m
late,csi300_cur_return
late,csi300_cur_return_15m
late,csi300_cur_rv
late,csi300_cur_rv_15m
late,csi300_hist_amp_lag1
late,csi300_hist_amp_mean20
late,csi300_hist_amp_std20
late,csi300_hist_money_rel20
late,csi300_hist_ret_lag1
late,csi300_hist_rv_lag1
late,csi300_hist_rv_mean20
late,csi300_hist_trend5
late,relative_csi300_amp
late,relative_csi300_return
late,relative_csi300_rv
late,relative_sse50_amp
late,relative_sse50_return
late,relative_sse50_rv
late,sse50_cur_amp
late,sse50_cur_cum_money_ratio20
late,sse50_cur_down_share
late,sse50_cur_range_expansion_15m
late,sse50_cur_return
late,sse50_cur_return_15m
late,sse50_cur_rv
late,sse50_cur_rv_15m
late,sse50_hist_amp_lag1
late,sse50_hist_amp_mean20
late,sse50_hist_amp_std20
late,sse50_hist_money_rel20
late,sse50_hist_ret_lag1
late,sse50_hist_rv_lag1
late,sse50_hist_rv_mean20
late,sse50_hist_trend5
