route,alpha,window,selected_iteration,min_delta
preopen,0.1,locked_multiwindow_median,290,5e-05
preopen,0.2,locked_multiwindow_median,377,5e-05
preopen,0.3,locked_multiwindow_median,308,5e-05
preopen,0.4,locked_multiwindow_median,141,5e-05
preopen,0.5,locked_multiwindow_median,168,5e-05
preopen,0.6,locked_multiwindow_median,104,5e-05
preopen,0.7,locked_multiwindow_median,155,5e-05
preopen,0.8,locked_multiwindow_median,159,5e-05
preopen,0.9,locked_multiwindow_median,176,5e-05
early,0.1,locked_multiwindow_median,712,5e-05
early,0.2,locked_multiwindow_median,813,5e-05
early,0.3,locked_multiwindow_median,609,5e-05
early,0.4,locked_multiwindow_median,984,5e-05
early,0.5,locked_multiwindow_median,862,5e-05
early,0.6,locked_multiwindow_median,674,5e-05
early,0.7,locked_multiwindow_median,654,5e-05
early,0.8,locked_multiwindow_median,860,5e-05
early,0.9,locked_multiwindow_median,826,5e-05
late,0.1,locked_multiwindow_median,128,5e-05
late,0.2,locked_multiwindow_median,313,5e-05
late,0.3,locked_multiwindow_median,171,5e-05
late,0.4,locked_multiwindow_median,253,5e-05
late,0.5,locked_multiwindow_median,388,5e-05
late,0.6,locked_multiwindow_median,362,5e-05
late,0.7,locked_multiwindow_median,259,5e-05
late,0.8,locked_multiwindow_median,380,5e-05
late,0.9,locked_multiwindow_median,647,5e-05
